team,n_players,n_with_club_elo,avg_club_elo,median_club_elo,avg_attack_per90,rt_value_estimate_eur,squad_market_value_eur,squad_avg_value_eur,n_valued,z_club_elo,z_attack,z_value,squad_index
Belgium,26,24,1780.0433603925,1757.43847656,0.630808805050444,265669200.0,634065971.0,24387152.730769232,26.0,1.1129554759316267,0.10209669093915286,0.9462617701155147,0.7258161600210384
Morocco,36,25,1708.8731640616002,1716.74279785,0.7233720118736761,293273320.0,456754154.0,17567467.46153846,26.0,0.5781892428514707,0.7823192062590232,0.6204757013124877,0.6580920217363174
Croatia,26,21,1685.3501092809522,1670.17321777,0.7333980333769633,268906000.0,387300000.0,14896153.846153846,26.0,0.4014391979717475,0.8559977854664308,0.4566472021391198,0.571576304428361
United States,31,21,1722.979218981905,1750.04211426,0.6836252539282924,257358200.0,378812045.0,14569694.038461538,26.0,0.6841808270011138,0.49023079885271154,0.4346378637670649,0.5663897245023632
Uruguay,30,13,1739.5519831715383,1780.29589844,0.660644273917899,172080080.0,320346330.0,12321012.692307692,26.0,0.8087070350813922,0.32134965737456217,0.2681358350822106,0.5300177128841653
Colombia,30,17,1678.4507266782352,1684.27062988,0.7088244664135132,146734840.0,460943359.0,17728590.730769232,26.0,0.3495978790595524,0.675413143858444,0.6295437432206926,0.5196223945713925
Senegal,29,26,1695.4652756903847,1717.51831055,0.6078900881781089,312017580.0,456345117.0,17551735.269230768,26.0,0.4774436171896079,-0.06632689521182895,0.6195858384736556,0.3155523821059146
Algeria,28,21,1556.7867373523811,1567.74780273,0.8101585555667373,221388500.0,229140860.0,8813110.0,26.0,-0.5645740163050738,1.420090552702859,-0.06466046638192852,0.2300412928323318
Norway,29,27,1611.1486590344446,1624.05883789,0.6766898059738035,256691580.0,465149822.0,17890377.769230768,26.0,-0.1561035949821831,0.4392640269097101,0.6385665948747213,0.21120911065136044
Ivory Coast,27,24,1648.1334177645833,1692.312194825,0.6201714814231737,230532940.0,494766342.0,19029474.692307692,26.0,0.12179644080720309,0.023925814169170032,0.6998745778474198,0.20315734889193487
Japan,26,17,1680.287375057647,1606.01928711,0.6114329683071374,214620350.0,270850000.0,10417307.692307692,26.0,0.3633982840884255,-0.04029120656669709,0.1014351008270739,0.1697143257068623
Czech Republic,24,23,1652.1362516991303,1654.11645508,0.6707417004133974,148032260.0,,,,0.15187336254099532,0.3955529729764317,-0.4191073347897283,0.12296508672725333
Ecuador,33,23,1678.079404083913,1698.91101074,0.5589786362907107,133608480.0,258787288.0,9953357.23076923,26.0,0.3468077956361484,-0.4257642134794407,0.05618495943269767,0.018283025205002076
Austria,26,24,1694.2266082754168,1686.13964844,0.5418356606478478,247048760.0,243918243.0,9381470.884615384,26.0,0.46813638548742487,-0.5517434055586921,-0.0025875903333988036,0.017033663457119215
Switzerland,26,25,1679.5166259768002,1697.41503906,0.527116084458935,345341800.0,357184518.0,13737866.076923076,26.0,0.3576069472105828,-0.6599136762666398,0.37624838947557804,0.005203017446553965
Egypt,31,5,1582.931249998,1557.96911621,0.6977978844811363,108813000.0,197591799.0,7599684.576923077,26.0,-0.3681265809458999,0.5943817107994558,-0.2117907663246974,1.8484089215078936e-05
Sweden,26,22,1692.3030229040908,1729.107910155,0.48616937145702477,227107740.0,408522445.0,15712401.73076923,26.0,0.45368274399050684,-0.9608202358830417,0.5096331433561518,-0.03020321909210613
Scotland,27,25,1654.6008544923998,1624.05883789,0.6176586117447936,178859820.0,125095414.0,4811362.076923077,26.0,0.17039215860652368,0.005459399791770816,-0.6658210493004002,-0.054576948560024596
Canada,33,20,1589.0938903799997,1585.6587524400002,0.6360489936933521,156827500.0,204233523.0,7855135.5,26.0,-0.3218210745287601,0.14060545075596298,-0.1789539162755019,-0.1313983590284554
Paraguay,23,10,1585.5307983400003,1615.2338256799999,0.670432175001203,89197660.0,135683726.0,5218604.846153846,26.0,-0.34859381658344396,0.39327835262063104,-0.5851215038894272,-0.13624409482321437
South Korea,27,13,1622.617506760769,1602.56091309,0.6054870942353435,126968120.0,139050000.0,5348076.923076923,26.0,-0.06992774030474451,-0.08398586188060249,-0.5607805492122764,-0.17301864463780117
Ghana,37,26,1598.2774423446158,1603.8615722650002,0.5756859847996908,256545060.0,198837737.0,7647605.269230769,26.0,-0.25281671956562257,-0.3029863299429794,-0.20554752289933104,-0.2609222438644392
Saudi Arabia,33,2,1623.6842041,1623.6842041,0.5507710641075495,68226140.0,129541211.0,4982354.269230769,26.0,-0.06191267575040458,-0.48607948978313537,-0.6311352846657078,-0.324215582444921
DR Congo,24,21,1584.547107514762,1580.06860352,0.56294355661734,146751400.0,153037838.0,5886070.692307692,26.0,-0.35598517791512213,-0.3966270630912396,-0.4655781616420016,-0.39212843447213913
Qatar,51,0,,,0.4347327550498282,85114160.0,121299976.0,4665383.692307692,26.0,0.15187336254099532,-1.3388143200645004,-0.696422502654302,-0.5395264994099876
Bosnia and Herzegovina,27,25,1511.8869580072,1482.40698242,0.5841574282745945,189678260.0,146400000.0,5630769.230769231,26.0,-0.901946780529526,-0.24073193333490084,-0.5096204135413742,-0.5920563106137768
Australia,33,19,1496.3520764794735,1532.94165039,0.5932753658750327,129459860.0,80038893.0,3078418.9615384615,26.0,-1.0186744348597698,-0.1737266224564208,-1.1093603881247578,-0.7410798911715952
New Zealand,26,14,1523.2262922014284,1517.649780275,0.5827341563008053,62172520.0,37905696.0,1457911.3846153845,26.0,-0.8167440784814538,-0.2511911824817464,-1.8517090246072516,-0.8257935541067158
Cape Verde,25,17,1441.7653952211765,1403.16503906,0.6046826959047057,78804060.0,,,,-1.4288336787253475,-0.08989717237387983,-1.0858481797883197,-0.8916088017149283
Tunisia,22,17,1493.950956457059,1546.58081055,0.49434271155357606,135092480.0,78914514.0,3035173.6153846155,26.0,-1.0367162272919546,-0.9007565221262547,-1.1234120747023801,-1.0064694999660446
Jordan,23,2,1537.762023925,1537.762023925,0.37701824950063556,49854440.0,104311966.0,4011998.6923076925,26.0,-0.7075239428120621,-1.7629429504617466,-0.846281074640066,-1.1046720218550525
Curaçao,24,15,1427.7699951173336,1394.69726562,0.5667716472203157,69866400.0,40068087.0,1541080.2692307692,26.0,-1.5339938128801591,-0.3684954381379114,-1.7966060338620367,-1.178591825916748
Panama,22,10,1446.0425415040002,1451.789916995,0.42799766047495874,35635160.0,174127946.0,6697228.692307692,26.0,-1.3966955995304564,-1.3883087480328826,-0.3373474716190649,-1.1818905759240272
Iraq,20,7,1484.6119210357142,1494.35522461,0.36681380289186555,35658200.0,123868581.0,4764176.192307692,26.0,-1.1068888704817326,-1.8379327285592217,-0.6756098795576359,-1.2764984226240343
Haiti,20,11,1466.6456187872727,1450.05969238,0.4236830322391129,75890140.0,61329838.0,2358839.923076923,26.0,-1.2418859938718108,-1.4200158093154718,-1.373803177872367,-1.3306148660772033
Iran,31,3,1423.6056722033334,1424.74609375,0.4589512748085929,44810960.0,,,,-1.56528414777955,-1.16083882642056,-1.8601904863191943,-1.4827095530118324
South Africa,28,4,1515.3140258800001,1497.4971923849998,0.23074681138091727,87673700.0,47700000.0,1834615.3846153845,26.0,-0.8761961114105815,-2.837853046729902,-1.6234358197123195,-1.7122239804326913
Uzbekistan,23,2,1218.021484375,1218.021484375,0.46903333801136765,48724640.0,85125000.0,3274038.4615384615,26.0,-3.1100246061962538,-1.0867484115918886,-1.0481695998147527,-1.989506936808426
