Rank,Club,Country,Level,Elo,From,To
83,Augsburg,GER,1,1636.44641113,2026-05-31,2026-07-04
84,Southampton,ENG,2,1636.34643555,2026-05-31,2026-07-04
85,Girona,ESP,1,1635.80603027,2026-05-28,2026-07-04
86,Alaves,ESP,1,1634.98193359,2026-05-28,2026-07-04
87,FC Krasnodar,RUS,1,1632.22900391,2026-05-24,2026-07-04
88,Viking,NOR,1,1631.9107666,2026-05-31,2026-07-04
89,Espanyol,ESP,1,1629.45593262,2026-05-28,2026-07-04
90,Paris FC,FRA,1,1629.32714844,2026-05-31,2026-07-04
91,Sevilla,ESP,1,1625.92346191,2026-05-28,2026-07-04
92,Auxerre,FRA,1,1624.11157227,2026-05-31,2026-07-04
93,Torino,ITA,1,1624.05883789,2026-05-31,2026-07-04
94,Elche,ESP,1,1623.40368652,2026-05-31,2026-07-04
95,Sassuolo,ITA,1,1622.01721191,2026-05-25,2026-07-04
96,Brest,FRA,1,1620.84460449,2026-05-31,2026-07-04
97,Union Berlin,GER,1,1619.43054199,2026-05-25,2026-07-04
98,Genoa,ITA,1,1618.22717285,2026-05-25,2026-07-04
99,Werder,GER,1,1606.01928711,2026-05-21,2026-07-04
100,PAOK,GRE,1,1605.57592773,2026-05-18,2026-07-04
None,Millwall,ENG,2,1604.41833496,2026-05-31,2026-07-04
None,Feyenoord,NED,1,1602.56091309,2026-05-18,2026-07-04
None,Hamburg,GER,1,1602.1472168,2026-05-21,2026-08-29
None,Parma,ITA,1,1599.93139648,2026-05-25,2026-08-22
None,Wolfsburg,GER,1,1599.56982422,2026-05-21,2026-07-03
None,Venezia,ITA,2,1598.84899902,2026-05-09,2026-08-23
None,Cagliari,ITA,1,1594.3046875,2026-05-25,2026-08-22
None,Famalicao,POR,1,1590.96594238,2026-05-17,2026-08-29
None,Middlesbrough,ENG,2,1588.94506836,2026-05-31,2026-08-15
None,Crvena Zvezda,SRB,1,1586.15527344,2026-05-23,2026-08-29
None,Las Palmas,ESP,2,1585.08972168,2026-06-01,2026-06-07
None,Shakhtar,UKR,1,1584.59094238,2026-05-22,2026-06-09
None,Aarhus,DEN,1,1582.55212402,2026-05-18,2026-07-25
None,Nice,FRA,1,1582.37243652,2026-05-31,2026-08-22
None,Santander,ESP,2,1581.93249512,2026-06-01,2026-08-16
None,Genk,BEL,1,1581.32556152,2026-06-01,2026-08-29
None,Le Havre,FRA,1,1580.06860352,2026-05-31,2026-08-22
None,FC Kobenhavn,DEN,1,1578.41003418,2026-05-22,2026-07-26
None,Ajax,NED,1,1578.02770996,2026-05-25,2026-08-09
None,Dinamo Zagreb,CRO,1,1577.1184082,2026-05-24,2026-08-29
None,Celtic,SCO,1,1575.15283203,2026-05-17,2026-08-29
None,Malaga,ESP,2,1568.62817383,2026-06-01,2026-06-07
None,Koeln,GER,1,1568.1685791,2026-05-21,2026-08-29
None,Lecce,ITA,1,1568.02050781,2026-05-25,2026-08-23
None,Twente,NED,1,1567.74780273,2026-05-18,2026-08-09
None,Frosinone,ITA,2,1564.72619629,2026-05-09,2026-08-23
None,Paphos,CYP,0,1561.03271484,2026-03-20,2026-08-29
None,Norwich,ENG,2,1560.36108398,2026-05-31,2026-08-15
None,Oviedo,ESP,1,1557.96911621,2026-05-28,2026-08-29
None,Viktoria Plzen,CZE,1,1556.39916992,2026-05-25,2026-08-29
None,Almeria,ESP,2,1556.26391602,2026-06-01,2026-06-06
None,Lok Moskva,RUS,1,1555.28356934,2026-03-16,2026-08-29
None,CSKA Moskva,RUS,1,1554.62353516,2026-03-15,2026-08-29
None,St Truiden,BEL,1,1554.60766602,2026-05-25,2026-08-29
None,Karabakh Agdam,AZE,0,1554.37609863,2026-02-25,2026-08-29
None,Heidenheim,GER,1,1552.56970215,2026-05-21,2026-07-03
None,Spartak Moskva,RUS,1,1550.99316406,2026-03-15,2026-08-29
None,Eibar,ESP,2,1549.77270508,2026-06-01,2026-08-29
None,Sparta Praha,CZE,1,1547.84741211,2026-05-25,2026-08-29
None,Angers,FRA,1,1547.54589844,2026-05-31,2026-08-23
None,Panathinaikos,GRE,1,1546.63842773,2026-05-18,2026-08-29
None,Sheffield United,ENG,2,1546.58081055,2026-05-31,2026-08-15
None,Castellon,ESP,2,1546.32910156,2026-06-01,2026-06-06
None,Depor,ESP,2,1546.31384277,2026-06-01,2026-08-16
None,Nantes,FRA,1,1544.4296875,2026-05-31,2026-08-29
None,Monza,ITA,2,1543.9909668,2026-05-30,2026-08-22
None,Reims,FRA,2,1541.97424316,2026-05-31,2026-08-29
None,Burgos,ESP,2,1541.79614258,2026-06-01,2026-08-29
None,Nordsjaelland,DEN,1,1541.78027344,2026-05-18,2026-07-26
None,Derby,ENG,2,1539.21325684,2026-05-31,2026-08-15
None,Alkmaar,NED,1,1539.21276855,2026-05-18,2026-08-08
None,Dynamo Moskva,RUS,1,1538.52539062,2026-03-15,2026-08-29
None,Swansea,ENG,2,1536.28540039,2026-05-31,2026-08-15
None,St Pauli,GER,1,1532.94165039,2026-05-21,2026-07-03
None,Hull,ENG,2,1532.88049316,2026-05-31,2026-07-03
None,Nijmegen,NED,1,1531.59863281,2026-05-18,2026-08-08
None,Cremonese,ITA,1,1531.55664062,2026-05-25,2026-08-29
None,Brondby,DEN,1,1529.92553711,2026-05-22,2026-07-25
None,Brann,NOR,1,1528.16906738,2026-05-30,2026-07-12
None,Hannover,GER,2,1527.87036133,2026-05-21,2026-08-08
None,Wrexham,ENG,2,1527.45910645,2026-05-31,2026-08-17
None,Trabzonspor,TUR,1,1526.23779297,2026-05-18,2026-08-29
None,Paderborn,GER,2,1525.36755371,2026-05-21,2026-07-03
None,Anderlecht,BEL,1,1523.74475098,2026-05-25,2026-08-29
None,Elversberg,GER,2,1523.39819336,2026-05-21,2026-07-03
None,Troyes,FRA,2,1521.14306641,2026-05-31,2026-08-22
None,Lech,POL,1,1520.91870117,2026-05-24,2026-08-29
None,Bueyueksehir,TUR,1,1520.4609375,2026-05-17,2026-08-29
None,Utrecht,NED,1,1520.30151367,2026-05-25,2026-08-09
None,Ferencvaros,HUN,1,1520.05029297,2026-05-17,2026-07-09
None,Schalke,GER,2,1519.7421875,2026-05-21,2026-07-03
None,Rangers,SCO,1,1517.05712891,2026-05-17,2026-08-29
None,Besiktas,TUR,1,1516.34155273,2026-05-16,2026-08-29
None,Mjaellby,SWE,1,1515.64575195,2026-06-01,2026-07-03
None,Guimaraes,POR,1,1515.55175781,2026-05-17,2026-08-29
None,Palermo,ITA,2,1514.03564453,2026-05-21,2026-08-29
None,Rakow,POL,1,1513.49890137,2026-05-24,2026-08-29
None,Viborg,DEN,1,1512.19702148,2026-05-18,2026-07-24
None,Gil Vicente,POR,1,1507.84570312,2026-05-17,2026-08-29
None,Saint-Etienne,FRA,2,1507.8404541,2026-05-31,2026-08-29
None,Bristol City,ENG,2,1507.68237305,2026-05-31,2026-08-15
None,Hammarby,SWE,1,1507.66381836,2026-06-01,2026-07-05
None,Birmingham,ENG,2,1507.0657959,2026-05-31,2026-08-15
None,Charleroi,BEL,1,1504.9967041,2026-05-24,2026-08-29
None,West Brom,ENG,2,1504.70581055,2026-05-31,2026-08-15
None,Leicester,ENG,2,1503.45800781,2026-05-31,2026-07-03
None,Verona,ITA,1,1502.5567627,2026-05-25,2026-08-29
None,Standard,BEL,1,1502.06079102,2026-05-24,2026-08-29
None,Arouca,POR,1,1500.69458008,2026-05-17,2026-08-29
None,Gijon,ESP,2,1499.98925781,2026-05-31,2026-08-29
None,Portsmouth,ENG,2,1499.31542969,2026-05-31,2026-08-15
None,Gent,BEL,1,1497.22473145,2026-06-01,2026-08-29
None,Tromso,NOR,1,1496.79101562,2026-05-30,2026-07-11
None,Albacete,ESP,2,1496.30981445,2026-05-31,2026-08-29
None,Rodez,FRA,2,1494.4453125,2026-05-31,2026-08-29
None,Larnaca,CYP,0,1494.35522461,2026-03-20,2026-08-29
None,Andorra CF,ESP,2,1493.97790527,2026-06-01,2026-08-29
None,Estoril,POR,1,1493.87976074,2026-05-17,2026-08-29
None,Blackburn,ENG,2,1493.27893066,2026-05-31,2026-08-14
None,Le Mans,FRA,2,1492.42114258,2026-05-31,2026-08-22
None,Metz,FRA,1,1489.80981445,2026-05-31,2026-08-29
None,Bochum,GER,2,1486.64111328,2026-05-21,2026-08-07
None,Baltika,RUS,1,1484.52722168,2026-03-15,2026-08-29
None,Santa Clara,POR,1,1482.95837402,2026-05-17,2026-08-29
None,Salzburg,AUT,1,1482.40698242,2026-05-18,2026-08-01
None,Leganes,ESP,2,1481.57958984,2026-06-01,2026-08-29
None,QPR,ENG,2,1480.50976562,2026-05-31,2026-08-15
None,Antwerp,BEL,1,1480.32495117,2026-05-24,2026-08-29
None,Moreirense,POR,1,1478.99890137,2026-05-17,2026-08-29
None,Preston,ENG,2,1478.86450195,2026-05-31,2026-08-15
None,Mechelen,BEL,1,1478.85229492,2026-05-25,2026-08-29
None,Aris Limassol,CYP,0,1478.18310547,2026-03-20,2026-08-29
None,Montpellier,FRA,2,1477.11669922,2026-05-31,2026-08-29
None,Westerlo,BEL,1,1475.3503418,2026-05-24,2026-08-29
None,Cordoba,ESP,2,1474.97363281,2026-06-01,2026-08-29
None,Hearts,SCO,1,1473.26843262,2026-05-17,2026-08-29
None,Djurgarden,SWE,1,1472.00256348,2026-06-01,2026-07-06
None,Sturm Graz,AUT,1,1471.63842773,2026-05-18,2026-08-01
None,StGallen,SUI,1,1469.69934082,2026-05-18,2026-07-26
None,Heerenveen,NED,1,1468.30737305,2026-05-22,2026-08-09
None,Molde,NOR,1,1467.12402344,2026-05-31,2026-07-11
None,Jagiellonia,POL,1,1466.60546875,2026-05-24,2026-08-29
None,Beer-Sheva,ISR,1,1466.13769531,2026-05-24,2026-08-29
None,Annecy,FRA,2,1465.85766602,2026-05-31,2026-08-29
None,SonderjyskE,DEN,1,1465.48205566,2026-05-18,2026-07-26
None,Darmstadt,GER,2,1463.3572998,2026-05-21,2026-08-08
None,Thun,SUI,1,1463.22167969,2026-05-18,2026-07-25
None,Holstein,GER,2,1462.63525391,2026-05-21,2026-08-08
None,Oxford,ENG,2,1462.52368164,2026-05-31,2026-07-03
None,Samsunspor,TUR,1,1461.57702637,2026-05-17,2026-08-29
None,Hertha,GER,2,1461.53942871,2026-05-21,2026-08-07
None,Granada,ESP,2,1461.25683594,2026-05-31,2026-08-29
None,Nuernberg,GER,2,1458.7109375,2026-05-21,2026-08-08
None,Craiova,ROM,1,1458.68530273,2026-05-26,2026-07-18
None,Catanzaro,ITA,2,1458.62243652,2026-05-30,2026-08-29
None,Watford,ENG,2,1458.16186523,2026-05-31,2026-08-16
None,Omonia,CYP,0,1456.90454102,2026-03-20,2026-08-29
None,Lautern,GER,2,1456.03540039,2026-05-21,2026-07-03
None,Pisa,ITA,1,1455.70288086,2026-05-24,2026-08-29
None,Celje,SVN,1,1455.5267334,2026-05-23,2026-08-29
None,Gyoer,HUN,1,1454.81445312,2026-05-17,2026-07-07
None,Ceuta,ESP,2,1454.6652832,2026-05-31,2026-08-29
None,Charlton,ENG,2,1452.98522949,2026-05-31,2026-08-15
None,Stoke,ENG,2,1452.73156738,2026-05-31,2026-08-15
None,LASK,AUT,1,1452.54589844,2026-05-18,2026-07-31
None,Gornik,POL,1,1452.04492188,2026-05-24,2026-08-29
None,Rio Ave,POR,1,1451.29138184,2026-05-17,2026-08-29
None,Nacional,POR,1,1451.03393555,2026-05-17,2026-08-29
None,Goeztepe,TUR,1,1450.39257812,2026-05-17,2026-08-29
None,Lugano,SUI,1,1450.05969238,2026-05-18,2026-07-26
None,Rubin Kazan,RUS,1,1449.72570801,2026-03-16,2026-08-29
None,Cercle Brugge,BEL,1,1445.62512207,2026-05-10,2026-08-29
None,Hradec Kralove,CZE,1,1445.51147461,2026-05-25,2026-08-29
None,Silkeborg,DEN,1,1445.33190918,2026-05-18,2026-07-27
None,Jablonec,CZE,1,1445.09521484,2026-05-25,2026-08-29
None,Malmoe,SWE,1,1444.68383789,2026-05-31,2026-07-04
None,Alverca,POR,1,1443.62670898,2026-05-17,2026-08-29
None,Levski,BUL,1,1441.24841309,2026-05-26,2026-07-07
None,Red Star,FRA,2,1441.0456543,2026-05-31,2026-08-29
None,Go Ahead Eagles,NED,1,1440.8338623,2026-05-18,2026-08-08
None,Legia,POL,1,1440.72375488,2026-05-24,2026-08-29
None,Dynamo Kyiv,UKR,1,1440.28381348,2026-05-25,2026-06-09
None,Mirandes,ESP,2,1440.08032227,2026-06-01,2026-08-29
None,Magdeburg,GER,2,1439.74841309,2026-05-21,2026-08-08
None,Groningen,NED,1,1438.96704102,2026-05-22,2026-08-09
None,Aris,GRE,1,1438.52880859,2026-05-18,2026-08-29
None,M Tel Aviv,ISR,1,1438.46240234,2026-05-24,2026-08-29
None,CFR Cluj,ROM,1,1437.53100586,2026-05-17,2026-07-18
None,Basel,SUI,1,1436.53771973,2026-05-18,2026-07-25
None,Karlsruhe,GER,2,1435.78100586,2026-05-21,2026-08-08
None,Sion,SUI,1,1433.71716309,2026-05-18,2026-07-26
None,Universitatea Cluj,ROM,1,1433.61633301,2026-05-24,2026-07-09
None,Randers,DEN,1,1432.48913574,2026-05-18,2026-07-27
None,Razgrad,BUL,1,1431.40698242,2026-05-30,2026-07-03
None,Slovan Liberec,CZE,1,1431.40270996,2026-05-25,2026-08-29
None,Young Boys,SUI,1,1431.359375,2026-05-18,2026-07-26
None,Odense,DEN,1,1430.63183594,2026-05-18,2026-07-24
None,Zulte Waregem,BEL,1,1430.47912598,2026-05-10,2026-08-29
None,Modena,ITA,2,1429.02441406,2026-05-13,2026-08-29
None,Sociedad B,ESP,2,1428.48071289,2026-05-31,2026-08-29
None,Casa Pia,POR,1,1427.91748047,2026-05-17,2026-08-29
None,IK Sirius,SWE,1,1427.83239746,2026-05-31,2026-07-03
None,Rosenborg,NOR,1,1427.67419434,2026-05-30,2026-07-12
None,Hajduk,CRO,1,1426.87268066,2026-05-23,2026-07-09
None,Steaua,ROM,1,1426.69921875,2026-05-30,2026-07-03
None,Katowice,POL,1,1426.26794434,2026-05-24,2026-08-29
None,Juve Stabia,ITA,2,1425.40319824,2026-05-20,2026-08-29
None,Valladolid,ESP,2,1425.33886719,2026-06-01,2026-08-29
None,Pogon,POL,1,1424.82568359,2026-05-24,2026-08-29
None,Rostov,RUS,1,1424.74609375,2026-03-15,2026-08-29
None,Sandefjord,NOR,1,1423.67443848,2026-05-31,2026-07-12
None,Dunkerque,FRA,2,1423.47265625,2026-05-31,2026-08-29
None,Empoli,ITA,2,1422.83203125,2026-05-09,2026-08-29
None,Leuven,BEL,1,1422.09460449,2026-05-24,2026-08-29
None,Servette,SUI,1,1417.44897461,2026-05-17,2026-07-25
None,Beitar,ISR,1,1414.83398438,2026-05-24,2026-08-29
None,Dresden,GER,2,1414.36047363,2026-05-21,2026-08-08
None,Piast Gliwice,POL,1,1413.75854492,2026-05-24,2026-08-29
None,Fredrikstad,NOR,1,1412.80065918,2026-05-30,2026-07-11
None,Sparta Rotterdam,NED,1,1411.77026367,2026-05-18,2026-08-09
None,Duesseldorf,GER,2,1410.23010254,2026-05-21,2026-07-03
None,Cadiz,ESP,2,1409.97790527,2026-06-01,2026-08-29
None,Terek Grozny,RUS,1,1406.51818848,2026-03-16,2026-08-29
None,Levadeiakos,GRE,1,1405.93115234,2026-05-18,2026-08-29
None,Grenoble,FRA,2,1405.7088623,2026-05-31,2026-08-29
None,Huesca,ESP,2,1405.03857422,2026-06-01,2026-08-29
None,Bielefeld,GER,2,1404.89758301,2026-05-21,2026-08-08
None,Sarpsborg,NOR,1,1403.36450195,2026-05-30,2026-07-12
None,Estrela Amadora,POR,1,1403.16503906,2026-05-17,2026-08-29
None,Radomiak,POL,1,1402.66918945,2026-05-24,2026-08-29
None,Rizespor,TUR,1,1402.17834473,2026-05-16,2026-08-29
None,Mantova,ITA,2,1399.96459961,2026-05-09,2026-08-29
None,Tondela,POR,1,1399.92504883,2026-05-17,2026-08-29
None,Austria Wien,AUT,1,1398.9432373,2026-05-18,2026-08-02
None,Hibernian,SCO,1,1398.91040039,2026-05-17,2026-08-29
None,Alanyaspor,TUR,1,1398.89440918,2026-05-17,2026-08-29
None,Konyaspor,TUR,1,1398.39013672,2026-05-18,2026-08-29
None,Lubin,POL,1,1397.54772949,2026-05-24,2026-08-29
None,Luzern,SUI,1,1397.09777832,2026-05-17,2026-07-25
None,Lechia,POL,1,1396.66125488,2026-05-24,2026-08-29
None,Ham-Kam,NOR,1,1395.87011719,2026-05-30,2026-07-12
None,Guingamp,FRA,2,1394.87780762,2026-05-31,2026-08-29
None,Fuerth,GER,2,1394.82666016,2026-05-21,2026-08-08
None,Telstar,NED,1,1394.69726562,2026-05-18,2026-08-08
None,Cracovia,POL,1,1394.18835449,2026-05-24,2026-08-29
None,Polissya Zhytomyr,UKR,1,1391.21179199,2026-05-25,2026-06-09
None,Sampdoria,ITA,2,1390.78161621,2026-05-09,2026-08-29
None,Clermont,FRA,2,1390.66455078,2026-05-31,2026-08-29
None,Korona,POL,1,1390.38623047,2026-05-24,2026-08-29
None,Motherwell,SCO,1,1389.7043457,2026-05-17,2026-08-29
None,Zwolle,NED,1,1389.37158203,2026-05-18,2026-08-09
None,Elfsborg,SWE,1,1388.13391113,2026-05-30,2026-07-05
None,Rijeka,CRO,1,1387.49780273,2026-05-24,2026-08-29
None,GAIS,SWE,1,1387.08850098,2026-05-31,2026-07-06
None,Carrarese,ITA,2,1385.89782715,2026-05-09,2026-08-29
None,Spezia,ITA,2,1384.77941895,2026-05-09,2026-08-29
None,Zaragoza,ESP,2,1384.69812012,2026-06-01,2026-08-29
None,Laval,FRA,2,1384.28735352,2026-05-31,2026-08-29
None,Haecken,SWE,1,1383.41943359,2026-06-01,2026-07-06
None,Sittard,NED,1,1383.10021973,2026-05-18,2026-08-08
None,Kasimpasa,TUR,1,1383.04516602,2026-05-18,2026-08-29
None,Bastia,FRA,2,1382.39294434,2026-05-31,2026-08-29
None,Avellino,ITA,2,1381.59423828,2026-05-09,2026-08-29
None,Rapid Wien,AUT,1,1381.19360352,2026-05-26,2026-08-02
None,Mlada Boleslav,CZE,1,1381.14978027,2026-05-24,2026-08-29
None,AIK,SWE,1,1381.11547852,2026-05-31,2026-07-05
None,Braunschweig,GER,2,1381.04882812,2026-05-21,2026-08-08
None,Motor Lublin,POL,1,1379.69775391,2026-05-24,2026-08-29
None,Valerenga,NOR,1,1377.26928711,2026-05-30,2026-07-11
None,Excelsior,NED,1,1377.12597656,2026-05-18,2026-08-07
None,Plock,POL,1,1375.22253418,2026-05-24,2026-08-29
None,Lausanne,SUI,1,1374.96118164,2026-05-17,2026-07-25
None,Pau,FRA,2,1374.34655762,2026-05-31,2026-08-29
None,Atromitos,GRE,1,1372.44262695,2026-05-22,2026-08-29
None,Suedtirol,ITA,2,1372.29541016,2026-05-23,2026-08-29
None,Sigma Olomouc,CZE,1,1371.94628906,2026-05-24,2026-08-29
None,Widzew,POL,1,1371.26391602,2026-05-24,2026-08-29
None,Hartberg,AUT,1,1370.59326172,2026-05-18,2026-08-01
None,Eyupspor,TUR,1,1370.07263184,2026-05-18,2026-08-29
None,Goeteborg,SWE,1,1368.79516602,2026-06-01,2026-07-05
None,RAAL,BEL,1,1368.54003906,2026-05-10,2026-08-29
None,Rapid Bucuresti,ROM,1,1368.52380371,2026-05-26,2026-07-20
None,Dinamo Bucuresti,ROM,1,1368.21972656,2026-05-30,2026-07-19
None,Leonesa,ESP,2,1367.80834961,2026-05-31,2026-08-29
None,Paksi,HUN,1,1367.53356934,2026-05-17,2026-08-29
None,Fredericia,DEN,1,1366.58007812,2026-05-18,2026-07-03
None,Slovan Bratislava,SLK,0,1366.51843262,2026-01-01,2026-08-29
None,Bari,ITA,2,1366.16162109,2026-05-23,2026-08-29
None,Kryliya Sovetov,RUS,1,1366.14489746,2026-03-16,2026-08-29
None,Cesena,ITA,2,1365.5480957,2026-05-09,2026-08-29
None,Padova,ITA,2,1365.3984375,2026-05-09,2026-08-29
None,Koper,SVN,1,1364.54040527,2026-05-17,2026-08-29
None,Puskas Akademia,HUN,1,1363.62231445,2026-05-16,2026-08-29
None,KFUM Oslo,NOR,1,1363.44885254,2026-05-30,2026-07-12
None,Lillestrom,NOR,1,1363.40356445,2026-05-31,2026-07-11
None,Akron Togliatti,RUS,1,1360.69018555,2026-03-16,2026-08-29
None,Nancy,FRA,2,1359.40527344,2026-05-31,2026-08-29
None,Entella,ITA,2,1358.08483887,2026-05-09,2026-08-29
None,Varazdin,CRO,1,1357.82263184,2026-05-24,2026-08-29
None,Boulogne,FRA,2,1357.81347656,2026-05-31,2026-08-29
None,CSKA Sofia,BUL,1,1355.23095703,2026-05-26,2026-07-03
None,Gaziantep FK,TUR,1,1354.34484863,2026-05-17,2026-08-29
None,Debrecen,HUN,1,1353.97338867,2026-05-17,2026-08-29
None,Lok Zagreb,CRO,1,1353.19470215,2026-05-24,2026-08-29
None,Kristiansund,NOR,1,1353.01513672,2026-05-30,2026-07-12
None,Muenster,GER,2,1352.77770996,2026-05-21,2026-07-03
None,Pescara,ITA,2,1351.91564941,2026-05-09,2026-08-29
None,FK Astana,KAZ,0,1351.59240723,2026-01-29,2026-07-09
None,Genclerbirligi,TUR,1,1349.63000488,2026-05-18,2026-08-29
None,AVS Futebol,POR,1,1347.30688477,2026-05-17,2026-08-29
None,Maccabi Haifa,ISR,1,1347.22473145,2026-05-24,2026-08-29
None,Pardubice,CZE,1,1346.9642334,2026-05-11,2026-08-29
None,Banik Ostrava,CZE,1,1346.56262207,2026-05-24,2026-08-29
None,Bohemians Praha,CZE,1,1344.51184082,2026-05-11,2026-07-09
None,Dender,BEL,1,1344.01013184,2026-05-10,2026-08-29
None,Orenburg,RUS,1,1343.03881836,2026-03-14,2026-08-29
None,Kocaelispor,TUR,1,1342.98779297,2026-05-18,2026-08-29
None,Partizan,SRB,1,1342.41906738,2026-05-24,2026-08-29
None,Sheffield Weds,ENG,2,1342.17150879,2026-05-31,2026-07-03
None,OFI,GRE,1,1339.29418945,2026-05-18,2026-08-29
